Case Number,Category,Program,Initiative,Organization,Type,Value,
AH4-OAHS-RS-1-120790381,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,Other,(Aboriginal)
AH4-OAHS-RS-1-120790381,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH4-OAHS-RS-1-120790381,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Renewable Energy Source,Comments,(Aboriginal)
AH4-OAHS-RS-1-120790918,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH4-OAHS-RS-1-120790918,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Other,(Aboriginal)
AH4-OAHS-RS-1-120790918,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,None,(Aboriginal)
AH4-OAHS-RS-1-120790918,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AH4-OAHS-RS-1-123173129,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Energy Efficiency,Energy Star-Rated Products,(Aboriginal)
AH4-OAHS-RS-1-123173129,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Env./Bldg. Construction Design,Certified,(Aboriginal)
AH4-OAHS-RS-1-123173129,IAH Year - 4 Rental Housing (Aboriginal),Investment in Affordable Housing Program,IAH Year - 4,Ontario Aboriginal Housing Social Services Corporation,Environmental Assessment,Yes,(Aboriginal)
AX1-HAM-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Hamilton,Comply with Canadian Environmental Assessment Act,Yes,
AX1-KAW-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kawartha Lakes,Comply with Canadian Environmental Assessment Act,Yes,
AX1-KAW-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kawartha Lakes,Energy Efficiency,Smart Meter (Bulk Metered and Sub-Metered),
AX1-KIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kingston,Comply with Canadian Environmental Assessment Act,Yes,
AX1-KIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kingston,Energy Efficiency,Energy Star-rated Products,
AX1-KIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kingston,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-KIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kingston,LEED Certification,Other,
AX1-KIN-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kingston,Comply with Canadian Environmental Assessment Act,Yes,
AX1-KIN-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Kingston,Energy Efficiency,Energy Star-rated Products,
AX1-LON-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AX1-LON-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Energy Efficiency,Energy Star-rated Products,
AX1-LON-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-LON-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AX1-LON-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Energy Efficiency,Energy Star-rated Products,
AX1-LON-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-LON-RS-003,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Comply with Canadian Environmental Assessment Act,Yes,
AX1-LON-RS-003,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Energy Efficiency,Energy Star-rated Products,
AX1-LON-RS-003,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of London,Energy Efficiency,Smart Meter (Bulk Metered),
AX1-OTT-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AX1-OTT-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AX1-OTT-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,Energy Efficiency,Smart Meter (Bulk Metered and Sub-Metered),
AX1-OTT-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,Comply with Canadian Environmental Assessment Act,Yes,
AX1-OTT-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,Energy Efficiency,Energy Star-rated Products,
AX1-OTT-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,Energy Efficiency,Smart Meter (Bulk Metered and Sub-Metered),
AX1-OTT-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Ottawa,LEED Certification,Gold,
AX1-PET-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Peterborough,Comply with Canadian Environmental Assessment Act,Yes,
AX1-PET-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Peterborough,Energy Efficiency,Energy Star-rated Products,
AX1-PET-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Peterborough,Energy Efficiency,Smart Meter (Bulk Metered and Sub-Metered),
AX1-PET-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Peterborough,Comply with Canadian Environmental Assessment Act,Yes,
AX1-PET-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Peterborough,Energy Efficiency,Energy Star-rated Products,
AX1-PET-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Peterborough,Energy Efficiency,Smart Meter (Bulk Metered and Sub-Metered),
AX1-STR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Stratford,Comply with Canadian Environmental Assessment Act,Yes,
AX1-TOR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AX1-TOR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AX1-TOR-RS-003,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Toronto,Comply with Canadian Environmental Assessment Act,Yes,
AX1-TOR-RS-003,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Toronto,Energy Efficiency,Energy Star-rated Products,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Comply with Canadian Environmental Assessment Act,Yes,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Energy Efficiency,Energy Star-rated Products,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Renewable Energy,Solar Photovoltaic,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Renewable Energy,Solar Thermal,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Comply with Canadian Environmental Assessment Act,Yes,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Energy Efficiency,Energy Star-rated Products,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Renewable Energy,Solar Photovoltaic,
AX1-WIN-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,City of Windsor,Renewable Energy,Solar Thermal,
AX1-COC-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Cochrane DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AX1-COC-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Cochrane DSSAB,Energy Efficiency,Energy Star-rated Products,
AX1-DUF-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Dufferin,Comply with Canadian Environmental Assessment Act,Yes,
AX1-HAS-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Hastings,Comply with Canadian Environmental Assessment Act,Yes,
AX1-HAS-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Hastings,Energy Efficiency,Energy Star-rated Products,
AX1-HAS-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Hastings,Energy Efficiency,Smart Meter (Bulk Metered and Sub-Metered),
AX1-HAS-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Hastings,Comply with Canadian Environmental Assessment Act,Yes,
AX1-HAS-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Hastings,Energy Efficiency,Energy Star-rated Products,
AX1-HAS-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Hastings,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-OXF-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Oxford,Comply with Canadian Environmental Assessment Act,Yes,
AX1-OXF-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Oxford,Energy Efficiency,Energy Star-rated Products,
AX1-OXF-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Oxford,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-SIM-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Simcoe,Comply with Canadian Environmental Assessment Act,Yes,
AX1-SIM-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Simcoe,Energy Efficiency,Energy Star-rated Products,
AX1-SIM-RS-002,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,County of Simcoe,Energy Efficiency,Other,
AX1-NIP-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Nipissing DSSAB,Comply with Canadian Environmental Assessment Act,Yes,
AX1-NIP-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Nipissing DSSAB,Energy Efficiency,Energy Star-rated Products,
AX1-NIP-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Nipissing DSSAB,Energy Efficiency,Other,
AX1-NIP-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Nipissing DSSAB,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-NIP-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Nipissing DSSAB,Renewable Energy,Comments,
AX1-NIP-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Nipissing DSSAB,Renewable Energy,Solar Photovoltaic,
AX1-WAT-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Regional Municipality of Waterloo,Comply with Canadian Environmental Assessment Act,Yes,
AX1-WAT-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Regional Municipality of Waterloo,Energy Efficiency,Energy Star-rated Products,
AX1-YOR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Regional Municipality of York,Comply with Canadian Environmental Assessment Act,Yes,
AX1-YOR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Regional Municipality of York,Energy Efficiency,Energy Star-rated Products,
AX1-YOR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Regional Municipality of York,Energy Efficiency,Smart Meter (Individually Metered Units),
AX1-YOR-RS-001,IAH-E Year - 1 Rental Housing,Investment in Affordable Housing Extension Program,Year - 1,Regional Municipality of York,LEED Certification,Silver,
AX1-OAHS-RS-1-116781935,IAH-E Year - 1 Rental Housing (Aboriginal),Investment in Affordable Housing Extension Program,Year - 1,Ontario Aboriginal Housing Social Services Corporation,,,(Aboriginal)
AX1-OAHS-RS-1-116783476,IAH-E Year - 1 Rental Housing (Aboriginal),Investment in Affordable Housing Extension Program,Year - 1,Ontario Aboriginal Housing Social Services Corporation,,,(Aboriginal)
